"id","nom_groupe","tags","localisation","localisation_type","begin_date_year","type"
82320,Gilbert Montagné,"french, singer-songwriter, chanson française, rock",Ménilmontant,5,1951,1
82685,Jordy,"european, french",Saint-Germain-en-Laye,3,1988,1
82814,Sabine Paturel,pop,Toulon,3,1965,1
83874,IAM,"marseille, french rap, hip hop, french",Marseille,3,1989,2
84984,XII Alfonso,symphonic prog,Bordeaux,3,1988,2
85204,Enrico Macias,"french, chanson française, chanson, french pop, singer-songwriter",Constantine,2,1938,1
85211,Nicolas Peyrac,"french singer, chanson française, singer-songwriter",Paris,3,1949,1
85259,Feadz,"hip hop, french house, alternative dance, techno, electronic",Paris,3,,1
85960,Busta Flex,hip hop,Soisy-sous-Montmorency,3,1977,1
87507,Alexandre Varlet,french,La Rochelle,3,1974,1
87622,Rohff,hip hop,Antananarivo,3,1977,1
89370,Pépé Bradock,french,Paris,3,,1
90769,Elmer Food Beat,rock,Nantes,3,1986,2
91788,Manu Key,hip hop,Guadeloupe,1,1971,1
92254,Kyo,pop rock,Verneuil-sur-Seine,3,1994,2
92422,Gojira,"death metal, djent, extreme progressive metal, groove metal, progressive death metal, avant-garde metal, alternative metal, technical death metal, metal, thrash metal, progressive metal, heavy metal",Ondres,3,1996,2
92617,Alain Chamfort,"pop, chanson française, singer-songwriter",Paris,3,1949,1
92623,Liane Foly,"french singer, seen live, jazz pop, french",Lyon,3,1962,1
93415,EV,breton,Nantes,3,1981,2
94036,Brigitte Bardot,"rock and indie, european, french, pop",Paris,3,1934,1
94530,Didier Squiban,breton,Ploudalmézeau,3,1959,1
96494,Pierre Bensusan,folk,Oran,2,1957,1
96598,Vladimir Cosma,"jazz, soundtrack, french composer, classical, symphony, composer, romanian composer, romanian, french",București,3,1940,1
97192,Fabe,"todo-works, hip hop",Paris,3,1971,1
97287,Serge Perathoner,"rock, french keyboardist",Longchamp-sur-Aujon,3,1953,1
97540,Dany Brillant,french,Tunis,3,1965,1
97981,Yannick Noah,"french, pop",Sedan,3,1960,1
98457,Stomy Bugsy,"french, todo-works, hip hop",Paris,3,1972,1
99002,Pulsar,"progressive rock, symphonic prog",Lyon,3,1974,2
99099,Alan Braxe,"electronic, french house, house",Paris,3,1973,1
99136,Yves Simon,"french, singer / songwriter, rock français, french pop, french rock, french singer",Choiseul,3,1944,1
99152,Daniel Guichard,french,Paris,3,1948,1
99153,Serge Lama,"french, chanson française",Bordeaux,3,1943,1
99164,Priscilla,"pop, french, teen pop",Nice,3,1989,1
99299,Renaud Garcia-Fons,jazz,Île-de-France,2,1962,1
99705,Michel Polnareff,"60s, french composer, singer/songwriter, french pop, chanson, film score, pop rock, baroque pop, chanson française, french, 80s, 70s, pop",Nérac,3,1944,1
101984,Catherine Ferry,"pop, rock",Ivry-sur-Seine,3,1953,1
101987,Marie Myriam,"french, chanson française, eurovision",Kananga,3,1957,1
102474,René Aubry,"soundtrack, television, classical",Remiremont,3,1956,1
